,Vehicle 1,Vehicle 2,seed,platoon,Vehicle 1 fws,Vehicle 2 fws,Vehicle 1 pct,Vehicle 2 pct
1,0.02822133786521443,0.03062455307748464,1,1,0.05884589094269907,0.05884589094269907,0.47958043311290566,0.5204195668870943
1,0.05041272456676084,0.025374572692675967,1,2,0.07578729725943681,0.07578729725943681,0.6651869955750875,0.3348130044249124
