,Vehicle 1,Vehicle 2,seed,platoon,avg window
0,-35.43418,-32.653538,1,1,40
1,-41.980843,-20.795252,1,1,40
0,-19.836262,-39.40953,1,2,40
1,-37.00382,-29.594194,1,2,40
